map2	map2	mpp	0	1		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	0	2		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	0	3		0	3.9997	6.70898	10.7087	3.56956	0.656547
map2	mpp	map2	0	4		1.24555	3.9997	1.99945	7.2447	2.4149	0.561109
map2	mpp	map2	0	5		0	3.9997	3.67995	7.67965	2.55988	0.536475
map2	mpp	map2	0	6		0.201433	3.9997	2.0858	6.28693	2.09564	0.477729
map2	mpp	map2	0	7		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	0	8		2.57241	3.9997	1.42384	7.99595	2.66532	0.621964
map2	mpp	map2	0	9		1.03781	3.9997	1.52508	6.5626	2.18753	0.518801
map2	mpp	map2	0	10		0	3.9997	0.887581	4.88728	1.62909	0.390725
map2	mpp	map2	0	11		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	0	12		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	0	13		0	3.9997	0	3.9997	1.33323	0.333315
map1	map1	map2	1	2		0	3.9997	0	3.9997	1.33323	0.333315
map2	map1	map2	1	3		0	3.56782	5.87893	9.44675	3.14892	0.599821
map2	map1	map2	1	4		2.46444	3.75807	3.27401	9.49652	3.16551	0.695792
map2	map1	map2	1	5		0	3.84035	3.83393	7.67428	2.55809	0.533683
map2	map1	map2	1	6		0.0238713	3.92023	2.34844	6.29254	2.09751	0.469928
map2	map1	map2	1	7		0	3.9997	0	3.9997	1.33323	0.333315
map2	map1	map2	1	8		0.890881	3.795	2.79973	7.48561	2.4952	0.561497
map2	map1	map2	1	9		0.775966	3.99047	0.827392	5.59382	1.86461	0.455864
map2	map1	map2	1	10		0	3.9997	1.00162	5.00132	1.66711	0.397628
map2	map1	map2	1	11		0	3.9997	0	3.9997	1.33323	0.333315
map2	map1	map2	1	12		0	3.9997	0	3.9997	1.33323	0.333315
map2	map1	map2	1	13		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	2	3		0	3.9997	6.55766	10.5574	3.51912	0.651209
map2	mpp	map2	2	4		1.42327	3.9997	1.42929	6.85227	2.28409	0.543127
map2	mpp	map2	2	5		0	3.9997	4.91684	8.91654	2.97218	0.589174
map2	mpp	map2	2	6		0	3.9997	3.33713	7.33683	2.44561	0.520785
map2	mpp	map2	2	7		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	2	8		2.17224	3.9997	2.10037	8.27231	2.75744	0.633004
map2	mpp	map2	2	9		0.443586	3.9997	0.533901	4.97718	1.65906	0.409539
map2	mpp	map2	2	10		0	3.9997	2.12878	6.12848	2.04283	0.461004
map2	mpp	map2	2	11		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	2	12		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	2	13		0	3.9997	0	3.9997	1.33323	0.333315
map2	mpp	map2	3	4		3.14316	3.9997	2.8032	9.94606	3.31535	0.729835
map2	mpp	map2	3	5		0	3.9997	6.1904	10.1901	3.3967	0.638002
