map2	map1	0	1		6.57572	4.33765	10.9134
map2	map2	0	2		0	9.81441	9.81441
map2	map2	0	3		5.2548	9.71086	14.9657
map2	map2	0	4		1.02135	0.67594	1.69729
map2	map2	0	5		1.76343	5.68908	7.45251
map2	map2	0	6		4.06336	1.80372	5.86708
map2	map1	0	7		0	4.87911	4.87911
map2	map2	0	8		2.45942	1.06493	3.52434
map2	map2	0	9		0.420053	1.06996	1.49001
map2	map2	0	10		1.96659	0.623016	2.5896
map2	map2	0	11		0	0	0
map2	map2	0	12		0	0	0
map2	map2	0	13		0	0	0
map1	map2	1	2		6.85467	9.70885	16.5635
map2	map2	1	3		5.0517	8.67692	13.7286
map2	map2	1	4		1.97396	3.00991	4.98387
map2	map2	1	5		0.927151	1.04091	1.96806
map2	map2	1	6		1.20426	3.5737	4.77796
map2	map2	1	7		0	0	0
map2	map2	1	8		1.54905	1.27108	2.82013
map2	map2	1	9		0.626055	0.735539	1.36159
map2	map2	1	10		0.271066	2.09624	2.36731
map2	map2	1	11		0	0	0
map2	map2	1	12		0	0	0
map2	map2	1	13		0	0	0
map2	map2	2	3		5.39046	9.64784	15.0383
map2	map2	2	4		3.31604	1.4216	4.73764
map2	map2	2	5		3.84758	5.04969	8.89727
map2	map2	2	6		1.18953	3.0819	4.27143
map2	map1	2	7		0	9.49692	9.49692
map2	map2	2	8		1.40716	1.55517	2.96233
map2	map2	2	9		1.46119	1.07513	2.53632
map2	map2	2	10		0.999071	2.20475	3.20382
map2	map1	2	11		0	9.49692	9.49692
map2	map2	2	12		0	0	0
map2	map1	2	13		0	9.49692	9.49692
map2	map1	3	4		2.91437	7.77703	10.6914
map2	map2	3	5		4.91282	4.91242	9.82525
map2	map2	3	6		4.79763	5.07618	9.87381
map2	map1	3	7		0.138807	9.68196	9.82076
map2	map1	3	8		0.846401	9.51579	10.3622
map2	map2	3	9		3.26759	1.03221	4.2998
map2	map2	3	10		2.7735	2.52384	5.29734
map2	map1	3	11		0	9.99985	9.99985
map2	map1	3	12		0.236945	9.42187	9.65881
map2	map1	3	13		0.0583522	9.68276	9.74111
map1	map2	4	5		0.837213	3.84145	4.67866
map1	map2	4	6		0.242832	0.921298	1.16413
map1	map1	4	7		3.26237	4.68846	7.95083
map2	map1	4	8		1.35835	1.37369	2.73204
map1	map2	4	9		2.56679	1.67253	4.23932
map1	map2	4	10		3.15159	0.553904	3.7055
map1	map1	4	11		3.98043	1.34234	5.32277
map1	map2	4	12		0	0	0
map1	map1	4	13		2.35968	2.23726	4.59694
map1	map2	5	6		2.62098	2.92722	5.5482
map2	map1	5	7		0	0	0
map2	map1	5	8		2.58887	4.74285	7.33171
map2	map1	5	9		2.22107	1.41286	3.63393
map2	map2	5	10		1.93601	2.55595	4.49196
map2	map1	5	11		0	0	0
map1	map1	5	12		3.08201	3.87524	6.95726
map2	map1	5	13		0	0	0
map2	map1	6	7		0	0	0
map2	map1	6	8		0.390569	0.79265	1.18322
map2	map1	6	9		0	0	0
map2	map1	6	10		0	0	0
map2	map1	6	11		0	0	0
map1	map1	6	12		1.93668	1.46303	3.39971
map2	map1	6	13		0	0	0
map2	map2	7	8		0.883589	0.390488	1.27408
map2	map2	7	9		1.26313	1.66651	2.92963
map1	map2	7	10		0.000147354	0.151701	0.151848
map2	map2	7	11		0	0	0
map1	map2	7	12		0	0	0
map1	map2	7	13		0	0	0
map1	map2	8	9		0.00795711	0.802794	0.810751
map1	map2	8	10		0.196865	0.218379	0.415243
map1	map1	8	11		0.865523	2.84851	3.71403
map1	map2	8	12		0	0	0
map1	map1	8	13		0.592624	0.485334	1.07796
map1	map2	9	10		0.00795711	0.550072	0.558029
map1	map1	9	11		0	0	0
map1	map1	9	12		0	0	0
map1	map1	9	13		0	0	0
map2	map1	10	11		0	0	0
map1	map1	10	12		0	0	0
map2	map1	10	13		0	0	0
map1	map2	11	12		0	0	0
map1	map2	11	13		0	0	0
map2	map1	12	13		0	0	0
